user_id,month,transactions_per_month,logins_per_month,feature_usage_score,is_churned
user_0004,2024-01,13,46,0.41,0
user_0004,2024-01,9,46,0.38,0
user_0004,2024-03,11,49,0.38,0
user_0004,2024-03,12,45,0.39,0
user_0004,2024-04,11,42,0.41,0
user_0004,2024-05,9,40,0.42,0
user_0004,2024-06,9,44,0.4,0
user_0004,2024-07,13,37,0.43,0
user_0004,2024-08,13,43,0.4,0
user_0004,2024-09,11,43,0.44,0
user_0004,2024-10,11,43,0.41,0
user_0004,2024-11,12,40,0.37,0
user_0005,2024-01,8,18,0.44,0
user_0005,2024-01,7,22,0.4,0
user_0005,2024-03,7,25,0.38,0
user_0005,2024-03,8,22,0.4,0
user_0005,2024-04,8,23,0.38,0
user_0005,2024-05,7,23,0.45,0
user_0005,2024-06,8,25,0.39,0
user_0005,2024-07,8,19,0.4,0
user_0005,2024-08,7,19,0.4,0
user_0005,2024-09,8,24,0.43,0
user_0005,2024-10,6,23,0.41,0
user_0005,2024-11,7,22,0.4,0
user_0006,2024-01,13,35,0.2,0
user_0006,2024-01,17,37,0.2,0
user_0006,2024-03,13,39,0.22,0
user_0006,2024-03,17,43,0.19,0
user_0006,2024-04,16,32,0.19,0
user_0006,2024-05,15,43,0.22,0
user_0006,2024-06,18,44,0.23,0
user_0006,2024-07,17,42,0.2,0
user_0006,2024-08,13,43,0.21,0
user_0006,2024-09,14,37,0.21,0
user_0006,2024-10,12,31,0.21,0
user_0006,2024-11,16,33,0.2,0
user_0007,2024-01,8,21,0.83,0
user_0007,2024-01,11,23,0.87,0
user_0007,2024-03,8,20,0.81,0
user_0007,2024-03,12,19,0.96,0
user_0007,2024-04,9,20,0.87,0
user_0007,2024-05,10,21,0.94,0
user_0007,2024-06,8,21,0.82,0
user_0007,2024-07,12,25,0.92,0
user_0007,2024-08,10,21,0.97,0
user_0007,2024-09,10,20,0.92,0
user_0007,2024-10,11,20,0.88,0
user_0007,2024-11,12,25,0.99,0
user_0008,2024-01,5,21,0.79,0
user_0008,2024-01,7,18,0.84,0
user_0008,2024-03,5,20,0.87,0
user_0008,2024-03,7,17,0.89,0
user_0008,2024-04,6,23,0.85,0
user_0008,2024-05,0,1,0.06,1
user_0008,2024-06,0,2,0.06,1
user_0008,2024-07,0,0,0.08,1
user_0008,2024-08,0,0,0.02,1
user_0008,2024-09,0,0,0.0,1
user_0008,2024-10,1,0,0.03,1
user_0008,2024-11,0,2,0.06,1
user_0009,2024-01,18,14,0.65,0
user_0009,2024-01,18,13,0.66,0
user_0009,2024-03,18,13,0.68,0
user_0009,2024-03,19,14,0.65,0
user_0009,2024-04,20,14,0.7,0
user_0009,2024-05,16,14,0.58,0
user_0009,2024-06,19,14,0.62,0
user_0009,2024-07,14,11,0.7,0
user_0009,2024-08,16,13,0.63,0
user_0009,2024-09,14,12,0.64,0
user_0009,2024-10,18,12,0.66,0
user_0009,2024-11,19,14,0.6,0
user_0010,2024-01,21,30,0.64,0
user_0010,2024-01,16,26,0.69,0
user_0010,2024-03,16,27,0.67,0
user_0010,2024-03,17,31,0.62,0
user_0010,2024-04,18,30,0.62,0
user_0010,2024-05,19,30,0.63,0
user_0010,2024-06,18,24,0.6,0
user_0010,2024-07,20,23,0.61,0
user_0010,2024-08,17,23,0.58,0
user_0010,2024-09,14,29,0.71,0
user_0010,2024-10,15,30,0.66,0
user_0010,2024-11,19,32,0.64,0
user_0011,2024-01,23,14,0.39,0
user_0011,2024-01,35,13,0.37,0
user_0011,2024-03,25,14,0.38,0
user_0011,2024-03,25,19,0.38,0
user_0011,2024-04,35,18,0.4,0
user_0011,2024-05,34,14,0.37,0
user_0011,2024-06,33,17,0.38,0
user_0011,2024-07,34,15,0.4,0
user_0011,2024-08,32,14,0.41,0
user_0011,2024-09,25,17,0.39,0
user_0011,2024-10,23,14,0.41,0
user_0011,2024-11,26,16,0.38,0
user_0012,2024-01,7,22,0.85,0
user_0012,2024-01,7,18,0.83,0
user_0012,2024-03,6,22,0.75,0
user_0012,2024-03,7,19,0.86,0
user_0012,2024-04,7,22,0.87,0
user_0012,2024-05,8,17,0.84,0
user_0012,2024-06,7,20,0.89,0
user_0012,2024-07,1,2,0.05,1
user_0012,2024-08,0,0,0.02,1
user_0012,2024-09,0,1,0.02,1
user_0012,2024-10,0,2,0.02,1
user_0012,2024-11,0,2,0.06,1
user_0013,2024-01,7,51,0.51,0
user_0013,2024-01,6,49,0.51,0
user_0013,2024-03,7,45,0.51,0
user_0013,2024-03,5,48,0.45,0
user_0013,2024-04,5,48,0.49,0
user_0013,2024-05,7,46,0.47,0
user_0013,2024-06,7,47,0.43,0
user_0013,2024-07,6,40,0.49,0
user_0013,2024-08,5,39,0.51,0
user_0013,2024-09,6,48,0.51,0
user_0013,2024-10,7,51,0.52,0
user_0013,2024-11,6,38,0.47,0
user_0014,2024-01,19,21,0.63,0
user_0014,2024-01,17,19,0.67,0
user_0014,2024-03,15,28,0.68,0
user_0014,2024-03,15,22,0.76,0
user_0014,2024-04,17,24,0.68,0
user_0014,2024-05,18,26,0.73,0
user_0014,2024-06,15,28,0.73,0
user_0014,2024-07,17,24,0.64,0
user_0014,2024-08,20,24,0.76,0
user_0014,2024-09,14,24,0.7,0
user_0014,2024-10,20,23,0.7,0
user_0014,2024-11,19,26,0.7,0
user_0015,2024-01,18,56,0.37,0
user_0015,2024-01,13,51,0.39,0
user_0015,2024-03,15,58,0.42,0
user_0015,2024-03,14,59,0.42,0
user_0015,2024-04,15,51,0.39,0
user_0015,2024-05,15,46,0.41,0
user_0015,2024-06,19,44,0.37,0
user_0015,2024-07,18,56,0.39,0
user_0015,2024-08,18,48,0.39,0
user_0015,2024-09,19,53,0.44,0
user_0015,2024-10,15,48,0.39,0
user_0015,2024-11,14,63,0.43,0
user_0016,2024-01,7,42,0.25,0
user_0016,2024-01,7,34,0.31,0
user_0016,2024-03,8,39,0.3,0
user_0016,2024-03,7,30,0.31,0
user_0016,2024-04,9,35,0.29,0
user_0016,2024-05,7,34,0.31,0
user_0016,2024-06,7,31,0.27,0
user_0016,2024-07,7,36,0.27,0
user_0016,2024-08,8,38,0.29,0
user_0016,2024-09,1,4,0.01,1
user_0016,2024-10,0,2,0.02,1
user_0016,2024-11,1,1,0.01,1
user_0017,2024-01,7,23,0.11,0
user_0017,2024-01,7,26,0.11,0
user_0017,2024-03,6,31,0.13,0
user_0017,2024-03,7,31,0.12,0
user_0017,2024-04,9,29,0.12,0
user_0017,2024-05,7,26,0.11,0
user_0017,2024-06,9,24,0.12,0
user_0017,2024-07,7,27,0.11,0
user_0017,2024-08,8,30,0.11,0
user_0017,2024-09,8,28,0.12,0
user_0017,2024-10,9,23,0.13,0
user_0017,2024-11,7,32,0.11,0
user_0018,2024-01,16,55,0.84,0
user_0018,2024-01,15,54,0.93,0
user_0018,2024-03,17,52,0.96,0
user_0018,2024-03,15,50,0.9,0
user_0018,2024-04,16,50,0.87,0
user_0018,2024-05,18,39,0.94,0
user_0018,2024-06,16,40,0.84,0
user_0018,2024-07,17,53,0.88,0
user_0018,2024-08,19,45,0.99,0
user_0018,2024-09,15,42,0.93,0
user_0018,2024-10,16,45,0.83,0
user_0018,2024-11,19,39,0.95,0
user_0019,2024-01,25,34,0.41,0
user_0019,2024-01,24,39,0.45,0
user_0019,2024-03,32,30,0.42,0
user_0019,2024-03,31,40,0.45,0
user_0019,2024-04,35,39,0.41,0
user_0019,2024-05,25,37,0.45,0
user_0019,2024-06,27,38,0.43,0
user_0019,2024-07,24,35,0.44,0
user_0019,2024-08,32,39,0.43,0
user_0019,2024-09,24,44,0.47,0
user_0019,2024-10,31,31,0.43,0
user_0019,2024-11,29,36,0.45,0
user_0020,2024-01,26,64,0.37,0
user_0020,2024-01,25,67,0.41,0
user_0020,2024-03,28,61,0.38,0
user_0020,2024-03,22,63,0.37,0
user_0020,2024-04,27,49,0.36,0
user_0020,2024-05,21,67,0.36,0
user_0020,2024-06,22,66,0.37,0
user_0020,2024-07,23,63,0.4,0
user_0020,2024-08,23,69,0.34,0
user_0020,2024-09,26,58,0.4,0
user_0020,2024-10,22,51,0.38,0
user_0020,2024-11,22,54,0.34,0
user_0021,2024-01,9,53,0.28,0
user_0021,2024-01,7,51,0.26,0
user_0021,2024-03,9,48,0.3,0
user_0021,2024-03,9,55,0.26,0
user_0021,2024-04,8,45,0.29,0
user_0021,2024-05,7,39,0.3,0
user_0021,2024-06,9,49,0.26,0
user_0021,2024-07,7,49,0.3,0
user_0021,2024-08,7,47,0.3,0
user_0021,2024-09,7,53,0.3,0
user_0021,2024-10,8,42,0.27,0
user_0021,2024-11,8,42,0.27,0
user_0022,2024-01,5,25,0.9,0
user_0022,2024-01,5,28,0.87,0
user_0022,2024-03,5,26,0.98,0
user_0022,2024-03,6,34,0.97,0
user_0022,2024-04,4,26,0.88,0
user_0022,2024-05,4,34,0.82,0
user_0022,2024-06,4,26,0.92,0
user_0022,2024-07,4,33,0.84,0
user_0022,2024-08,5,28,0.9,0
user_0022,2024-09,5,25,0.84,0
user_0022,2024-10,5,30,0.88,0
user_0022,2024-11,5,30,0.94,0
user_0023,2024-01,21,70,0.46,0
user_0023,2024-01,17,62,0.45,0
user_0023,2024-03,16,60,0.41,0
user_0023,2024-03,18,70,0.38,0
user_0023,2024-04,21,62,0.42,0
user_0023,2024-05,16,66,0.43,0
user_0023,2024-06,21,53,0.43,0
user_0023,2024-07,20,54,0.39,0
user_0023,2024-08,19,56,0.45,0
user_0023,2024-09,18,70,0.39,0
user_0023,2024-10,23,50,0.42,0
user_0023,2024-11,16,54,0.41,0
user_0024,2024-01,27,30,0.23,0
user_0024,2024-01,24,36,0.21,0
user_0024,2024-03,29,27,0.23,0
user_0024,2024-03,26,29,0.22,0
user_0024,2024-04,29,26,0.21,0
user_0024,2024-05,24,35,0.23,0
user_0024,2024-06,22,35,0.2,0
user_0024,2024-07,25,30,0.23,0
user_0024,2024-08,25,33,0.21,0
user_0024,2024-09,27,36,0.23,0
user_0024,2024-10,29,29,0.23,0
user_0024,2024-11,26,32,0.21,0
user_0025,2024-01,6,21,0.79,0
user_0025,2024-01,7,21,0.71,0
user_0025,2024-03,7,20,0.86,0
user_0025,2024-03,7,15,0.87,0
user_0025,2024-04,5,16,0.81,0
user_0025,2024-05,6,18,0.73,0
user_0025,2024-06,6,18,0.77,0
user_0025,2024-07,6,16,0.84,0
user_0025,2024-08,5,20,0.86,0
user_0025,2024-09,0,1,0.03,1
user_0025,2024-10,1,1,0.0,1
user_0025,2024-11,0,0,0.04,1
user_0026,2024-01,14,11,0.13,0
user_0026,2024-01,14,13,0.12,0
user_0026,2024-03,13,13,0.12,0
user_0026,2024-03,13,9,0.13,0
user_0026,2024-04,14,11,0.12,0
user_0026,2024-05,12,12,0.13,0
user_0026,2024-06,14,10,0.12,0
user_0026,2024-07,11,12,0.13,0
user_0026,2024-08,11,12,0.12,0
user_0026,2024-09,14,10,0.14,0
user_0026,2024-10,14,11,0.14,0
user_0026,2024-11,13,13,0.12,0
user_0027,2024-01,8,23,0.89,0
user_0027,2024-01,8,33,0.75,0
user_0027,2024-03,9,32,0.78,0
user_0027,2024-03,9,26,0.91,0
user_0027,2024-04,9,34,0.89,0
user_0027,2024-05,6,24,0.92,0
user_0027,2024-06,9,31,0.83,0
user_0027,2024-07,9,25,0.82,0
user_0027,2024-08,10,24,0.84,0
user_0027,2024-09,8,32,0.78,0
user_0027,2024-10,8,34,0.76,0
user_0027,2024-11,8,26,0.8,0
user_0028,2024-01,21,15,0.52,0
user_0028,2024-01,21,12,0.44,0
user_0028,2024-03,21,14,0.48,0
user_0028,2024-03,21,15,0.49,0
user_0028,2024-04,1,1,0.04,1
user_0028,2024-05,1,0,0.04,1
user_0028,2024-06,1,1,0.02,1
user_0028,2024-07,2,1,0.01,1
user_0028,2024-08,1,1,0.04,1
user_0028,2024-09,0,1,0.03,1
user_0028,2024-10,1,1,0.03,1
user_0028,2024-11,2,0,0.02,1
user_0029,2024-01,20,57,0.69,0
user_0029,2024-01,19,47,0.76,0
user_0029,2024-03,20,43,0.76,0
user_0029,2024-03,15,48,0.81,0
user_0029,2024-04,21,44,0.75,0
user_0029,2024-05,19,42,0.78,0
user_0029,2024-06,17,59,0.81,0
user_0029,2024-07,0,4,0.04,1
user_0029,2024-08,0,4,0.03,1
user_0029,2024-09,1,2,0.0,1
user_0029,2024-10,1,1,0.01,1
user_0029,2024-11,2,0,0.04,1
user_0030,2024-01,11,19,0.75,0
user_0030,2024-01,11,26,0.73,0
user_0030,2024-03,12,19,0.75,0
user_0030,2024-03,14,21,0.65,0
user_0030,2024-04,15,26,0.71,0
user_0030,2024-05,13,21,0.74,0
user_0030,2024-06,12,24,0.72,0
user_0030,2024-07,11,23,0.75,0
user_0030,2024-08,13,19,0.65,0
user_0030,2024-09,12,22,0.72,0
user_0030,2024-10,15,24,0.7,0
user_0030,2024-11,12,26,0.69,0
user_0031,2024-01,12,17,0.8,0
user_0031,2024-01,15,19,0.87,0
user_0031,2024-03,12,15,0.75,0
user_0031,2024-03,11,20,0.82,0
user_0031,2024-04,13,16,0.85,0
user_0031,2024-05,13,16,0.84,0
user_0031,2024-06,13,18,0.86,0
user_0031,2024-07,15,18,0.83,0
user_0031,2024-08,13,20,0.79,0
user_0031,2024-09,13,19,0.76,0
user_0031,2024-10,14,18,0.87,0
user_0031,2024-11,12,14,0.76,0
user_0032,2024-01,8,43,0.32,0
user_0032,2024-01,10,45,0.32,0
user_0032,2024-03,8,43,0.34,0
user_0032,2024-03,10,47,0.32,0
user_0032,2024-04,12,40,0.3,0
user_0032,2024-05,11,39,0.31,0
user_0032,2024-06,8,37,0.34,0
user_0032,2024-07,11,42,0.32,0
user_0032,2024-08,8,38,0.32,0
user_0032,2024-09,0,4,0.03,1
user_0032,2024-10,1,4,0.01,1
user_0032,2024-11,0,3,0.03,1
user_0033,2024-01,5,14,0.79,0
user_0033,2024-01,6,15,0.85,0
user_0033,2024-03,5,15,0.76,0
user_0033,2024-03,5,19,0.8,0
user_0033,2024-04,6,18,0.85,0
user_0033,2024-05,5,17,0.87,0
user_0033,2024-06,6,20,0.76,0
user_0033,2024-07,6,20,0.74,0
user_0033,2024-08,4,16,0.8,0
user_0033,2024-09,5,17,0.83,0
user_0033,2024-10,6,20,0.83,0
user_0033,2024-11,6,14,0.87,0
user_0034,2024-01,19,44,1.02,0
user_0034,2024-01,22,38,0.94,0
user_0034,2024-03,22,36,0.96,0
user_0034,2024-03,18,32,0.9,0
user_0034,2024-04,20,40,1.0,0
user_0034,2024-05,21,32,1.02,0
user_0034,2024-06,18,38,1.03,0
user_0034,2024-07,15,44,0.99,0
user_0034,2024-08,17,44,1.07,0
user_0034,2024-09,23,39,0.92,0
user_0034,2024-10,22,32,1.0,0
user_0034,2024-11,17,34,0.96,0
user_0035,2024-01,13,33,0.87,0
user_0035,2024-01,13,31,0.9,0
user_0035,2024-03,17,29,0.91,0
user_0035,2024-03,14,31,0.82,0
user_0035,2024-04,13,29,0.77,0
user_0035,2024-05,16,38,0.88,0
user_0035,2024-06,15,37,0.85,0
user_0035,2024-07,13,38,0.86,0
user_0035,2024-08,18,33,0.86,0
user_0035,2024-09,13,26,0.78,0
user_0035,2024-10,15,38,0.92,0
user_0035,2024-11,13,36,0.76,0
user_0036,2024-01,30,33,0.64,0
user_0036,2024-01,28,34,0.58,0
user_0036,2024-03,28,41,0.67,0
user_0036,2024-03,25,43,0.64,0
user_0036,2024-04,35,41,0.62,0
user_0036,2024-05,30,38,0.6,0
user_0036,2024-06,31,42,0.64,0
user_0036,2024-07,27,43,0.66,0
user_0036,2024-08,29,37,0.64,0
user_0036,2024-09,25,35,0.68,0
user_0036,2024-10,31,33,0.61,0
user_0036,2024-11,30,39,0.67,0
user_0037,2024-01,17,35,0.36,0
user_0037,2024-01,15,31,0.33,0
user_0037,2024-03,16,42,0.33,0
user_0037,2024-03,16,33,0.32,0
user_0037,2024-04,20,34,0.32,0
user_0037,2024-05,16,43,0.31,0
user_0037,2024-06,17,34,0.31,0
user_0037,2024-07,19,42,0.32,0
user_0037,2024-08,21,34,0.31,0
user_0037,2024-09,19,33,0.37,0
user_0037,2024-10,20,34,0.36,0
user_0037,2024-11,17,37,0.31,0
user_0038,2024-01,27,17,0.93,0
user_0038,2024-01,20,21,1.02,0
user_0038,2024-03,24,18,0.99,0
user_0038,2024-03,22,18,1.05,0
user_0038,2024-04,26,17,0.96,0
user_0038,2024-05,26,18,0.99,0
user_0038,2024-06,22,17,1.0,0
user_0038,2024-07,19,18,1.01,0
user_0038,2024-08,19,17,1.02,0
user_0038,2024-09,20,16,0.89,0
user_0038,2024-10,23,15,1.06,0
user_0038,2024-11,25,21,0.92,0
user_0039,2024-01,12,48,0.64,0
user_0039,2024-01,11,44,0.71,0
user_0039,2024-03,10,38,0.69,0
user_0039,2024-03,10,39,0.77,0
user_0039,2024-04,11,39,0.74,0
user_0039,2024-05,10,50,0.78,0
user_0039,2024-06,12,50,0.75,0
user_0039,2024-07,11,37,0.7,0
user_0039,2024-08,12,45,0.71,0
user_0039,2024-09,9,36,0.73,0
user_0039,2024-10,12,49,0.72,0
user_0039,2024-11,12,46,0.72,0
user_0040,2024-01,33,13,0.65,0
user_0040,2024-01,31,16,0.66,0
user_0040,2024-03,33,14,0.6,0
user_0040,2024-03,26,15,0.7,0
user_0040,2024-04,31,18,0.69,0
user_0040,2024-05,30,15,0.68,0
user_0040,2024-06,32,13,0.6,0
user_0040,2024-07,26,15,0.65,0
user_0040,2024-08,33,16,0.65,0
user_0040,2024-09,23,16,0.63,0
user_0040,2024-10,32,18,0.68,0
user_0040,2024-11,28,15,0.6,0
user_0041,2024-01,20,15,0.32,0
user_0041,2024-01,21,18,0.34,0
user_0041,2024-03,28,18,0.36,0
user_0041,2024-03,27,18,0.3,0
user_0041,2024-04,29,21,0.35,0
user_0041,2024-05,21,21,0.3,0
user_0041,2024-06,22,20,0.35,0
user_0041,2024-07,24,17,0.35,0
user_0041,2024-08,28,20,0.34,0
user_0041,2024-09,30,15,0.31,0
user_0041,2024-10,26,15,0.35,0
user_0041,2024-11,25,17,0.32,0
user_0042,2024-01,24,18,0.96,0
user_0042,2024-01,19,17,0.93,0
user_0042,2024-03,24,19,0.88,0
user_0042,2024-03,17,17,0.97,0
user_0042,2024-04,20,18,0.96,0
user_0042,2024-05,23,16,0.89,0
user_0042,2024-06,25,19,1.0,0
user_0042,2024-07,24,16,1.03,0
user_0042,2024-08,21,16,0.87,0
user_0042,2024-09,17,17,0.86,0
user_0042,2024-10,18,18,0.95,0
user_0042,2024-11,19,14,0.91,0
user_0043,2024-01,19,35,0.59,0
user_0043,2024-01,17,45,0.59,0
user_0043,2024-03,18,38,0.64,0
user_0043,2024-03,16,48,0.55,0
user_0043,2024-04,20,44,0.61,0
user_0043,2024-05,17,47,0.6,0
user_0043,2024-06,16,47,0.56,0
user_0043,2024-07,17,41,0.61,0
user_0043,2024-08,15,41,0.67,0
user_0043,2024-09,17,40,0.62,0
user_0043,2024-10,16,38,0.58,0
user_0043,2024-11,20,42,0.59,0
user_0044,2024-01,17,14,0.34,0
user_0044,2024-01,17,14,0.34,0
user_0044,2024-03,15,12,0.29,0
user_0044,2024-03,18,11,0.28,0
user_0044,2024-04,16,14,0.3,0
user_0044,2024-05,13,12,0.3,0
user_0044,2024-06,17,12,0.34,0
user_0044,2024-07,18,11,0.29,0
user_0044,2024-08,14,14,0.29,0
user_0044,2024-09,14,14,0.3,0
user_0044,2024-10,15,10,0.34,0
user_0044,2024-11,16,10,0.32,0
user_0045,2024-01,13,62,0.31,0
user_0045,2024-01,15,55,0.32,0
user_0045,2024-03,11,66,0.36,0
user_0045,2024-03,15,59,0.32,0
user_0045,2024-04,11,55,0.36,0
user_0045,2024-05,10,69,0.36,0
user_0045,2024-06,12,47,0.34,0
user_0045,2024-07,10,66,0.36,0
user_0045,2024-08,13,50,0.36,0
user_0045,2024-09,11,48,0.34,0
user_0045,2024-10,14,55,0.34,0
user_0045,2024-11,14,67,0.36,0
user_0046,2024-01,17,57,0.1,0
user_0046,2024-01,23,55,0.11,0
user_0046,2024-03,19,46,0.11,0
user_0046,2024-03,24,53,0.11,0
user_0046,2024-04,20,55,0.11,0
user_0046,2024-05,21,62,0.1,0
user_0046,2024-06,25,56,0.11,0
user_0046,2024-07,22,43,0.1,0
user_0046,2024-08,22,62,0.11,0
user_0046,2024-09,22,58,0.1,0
user_0046,2024-10,20,56,0.11,0
user_0046,2024-11,22,50,0.11,0
user_0047,2024-01,8,61,0.19,0
user_0047,2024-01,7,57,0.19,0
user_0047,2024-03,6,68,0.18,0
user_0047,2024-03,7,63,0.21,0
user_0047,2024-04,7,58,0.21,0
user_0047,2024-05,6,55,0.19,0
user_0047,2024-06,6,51,0.2,0
user_0047,2024-07,7,58,0.21,0
user_0047,2024-08,8,61,0.21,0
user_0047,2024-09,6,61,0.2,0
user_0047,2024-10,7,66,0.2,0
user_0047,2024-11,6,46,0.19,0
user_0048,2024-01,25,24,0.71,0
user_0048,2024-01,21,20,0.59,0
user_0048,2024-03,26,22,0.7,0
user_0048,2024-03,1,1,0.02,1
user_0048,2024-04,0,2,0.04,1
user_0048,2024-05,1,0,0.06,1
user_0048,2024-06,1,0,0.02,1
user_0048,2024-07,0,0,0.02,1
user_0048,2024-08,0,1,0.04,1
user_0048,2024-09,0,1,0.06,1
user_0048,2024-10,1,0,0.04,1
user_0048,2024-11,0,2,0.0,1
user_0049,2024-01,6,37,0.8,0
user_0049,2024-01,6,36,0.76,0
user_0049,2024-03,6,31,0.89,0
user_0049,2024-03,0,2,0.03,1
user_0049,2024-04,0,3,0.08,1
user_0049,2024-05,1,1,0.04,1
user_0049,2024-06,0,1,0.06,1
user_0049,2024-07,1,1,0.03,1
user_0049,2024-08,0,4,0.05,1
user_0049,2024-09,0,0,0.03,1
user_0049,2024-10,0,1,0.02,1
user_0049,2024-11,0,1,0.01,1
user_0050,2024-01,9,44,0.95,0
user_0050,2024-01,7,48,0.8,0
user_0050,2024-03,8,60,0.89,0
user_0050,2024-03,9,49,0.86,0
user_0050,2024-04,7,65,0.79,0
user_0050,2024-05,7,62,0.88,0
user_0050,2024-06,7,63,0.8,0
user_0050,2024-07,8,62,0.8,0
user_0050,2024-08,9,53,0.78,0
user_0050,2024-09,9,56,0.82,0
user_0050,2024-10,8,56,0.92,0
user_0050,2024-11,6,47,0.82,0
user_0051,2024-01,20,37,0.92,0
user_0051,2024-01,14,46,1.01,0
user_0051,2024-03,16,46,1.07,0
user_0051,2024-03,16,41,0.95,0
user_0051,2024-04,15,40,0.91,0
user_0051,2024-05,19,36,1.05,0
user_0051,2024-06,20,38,1.07,0
user_0051,2024-07,1,2,0.02,1
user_0051,2024-08,0,3,0.03,1
user_0051,2024-09,1,2,0.03,1
user_0051,2024-10,1,1,0.05,1
user_0051,2024-11,0,1,0.0,1
user_0052,2024-01,17,61,0.73,0
user_0052,2024-01,18,49,0.73,0
user_0052,2024-03,14,46,0.67,0
user_0052,2024-03,16,47,0.71,0
user_0052,2024-04,16,50,0.76,0
user_0052,2024-05,15,59,0.78,0
user_0052,2024-06,14,53,0.73,0
user_0052,2024-07,17,63,0.75,0
user_0052,2024-08,15,51,0.69,0
user_0052,2024-09,17,56,0.71,0
user_0052,2024-10,16,51,0.73,0
user_0052,2024-11,15,60,0.78,0
user_0053,2024-01,29,57,0.66,0
user_0053,2024-01,26,41,0.75,0
user_0053,2024-03,20,40,0.66,0
user_0053,2024-03,29,45,0.72,0
user_0053,2024-04,24,56,0.72,0
user_0053,2024-05,25,41,0.77,0
user_0053,2024-06,25,55,0.71,0
user_0053,2024-07,23,44,0.7,0
user_0053,2024-08,28,46,0.77,0
user_0053,2024-09,28,52,0.79,0
user_0053,2024-10,21,47,0.73,0
user_0053,2024-11,20,44,0.74,0
user_0054,2024-01,10,50,0.18,0
user_0054,2024-01,7,44,0.15,0
user_0054,2024-03,9,44,0.18,0
user_0054,2024-03,11,46,0.18,0
user_0054,2024-04,10,41,0.18,0
user_0054,2024-05,8,44,0.16,0
user_0054,2024-06,11,43,0.17,0
user_0054,2024-07,7,54,0.18,0
user_0054,2024-08,10,48,0.16,0
user_0054,2024-09,7,42,0.16,0
user_0054,2024-10,10,48,0.16,0
user_0054,2024-11,8,50,0.16,0
user_0055,2024-01,14,26,0.74,0
user_0055,2024-01,19,22,0.65,0
user_0055,2024-03,16,25,0.67,0
user_0055,2024-03,16,25,0.68,0
user_0055,2024-04,18,26,0.73,0
user_0055,2024-05,15,27,0.67,0
user_0055,2024-06,19,26,0.73,0
user_0055,2024-07,15,24,0.64,0
user_0055,2024-08,15,23,0.73,0
user_0055,2024-09,18,21,0.61,0
user_0055,2024-10,19,28,0.73,0
user_0055,2024-11,17,27,0.73,0
user_0056,2024-01,24,16,0.66,0
user_0056,2024-01,22,16,0.69,0
user_0056,2024-03,23,21,0.69,0
user_0056,2024-03,17,20,0.61,0
user_0056,2024-04,20,15,0.67,0
user_0056,2024-05,22,17,0.6,0
user_0056,2024-06,25,18,0.61,0
user_0056,2024-07,20,20,0.63,0
user_0056,2024-08,17,18,0.68,0
user_0056,2024-09,23,21,0.64,0
user_0056,2024-10,20,18,0.7,0
user_0056,2024-11,24,16,0.68,0
user_0057,2024-01,26,41,0.57,0
user_0057,2024-01,21,39,0.6,0
user_0057,2024-03,23,36,0.54,0
user_0057,2024-03,25,51,0.56,0
user_0057,2024-04,25,51,0.62,0
user_0057,2024-05,22,48,0.57,0
user_0057,2024-06,21,45,0.57,0
user_0057,2024-07,21,42,0.58,0
user_0057,2024-08,19,38,0.61,0
user_0057,2024-09,23,48,0.62,0
user_0057,2024-10,24,37,0.6,0
user_0057,2024-11,21,46,0.51,0
